video_title,video_duration,date_released_utc,view_count,like_count,comment_count,date_collected_utc
"I Made Vegan ""Chicken"" from Scratch | Easy Seitan Recipe",PT4M1S,2021-04-19 16:30:15+00:00,6090,253,99,2024-08-24 07:52:10.977698+00:00
Frejon (Coconut Bean Soup) | Nigerian Easter Recipe | IG Live,PT15M39S,2021-04-04 15:00:01+00:00,431,10,2,2024-08-24 07:52:11.415879+00:00
Vegan Edible Dish Sponge Cake | April Fool's Prank | Easy Illusion Cake,PT4M31S,2021-03-28 15:00:18+00:00,301,31,5,2024-08-24 07:52:11.854941+00:00
Cheesy GARLIC PLANTAIN Bread | Easy VEGAN Recipe,PT6M28S,2021-03-13 10:30:16+00:00,549,56,14,2024-08-24 07:52:12.273001+00:00
Prosecco & Pink Lemonade Cake | Vegan 4 Layer Celebration Cake,PT8M36S,2021-03-03 20:36:30+00:00,224,32,5,2024-08-24 07:52:12.679202+00:00
Savoury Rice & Cassava Pancakes | Oil Free + Vegan | Pancake Day,PT7M28S,2021-02-14 16:15:05+00:00,309,21,2,2024-08-24 07:52:13.156558+00:00
2 Oil Free + Vegan Red Stews,PT8M18S,2021-01-30 12:15:04+00:00,904,88,11,2024-08-24 07:52:13.562507+00:00
"What I Eat In A Day | Oil Free, Healthy Vegan Recipes",PT5M59S,2021-01-24 12:15:06+00:00,642,51,17,2024-08-24 07:52:13.981105+00:00
Vegan Grocery Haul -  Fresh Produce,PT5M,2021-01-17 10:00:11+00:00,265,29,3,2024-08-24 07:52:14.406257+00:00
"Chewy Chocolate Banana Cookies | Vegan, Gluten Free, Oil Free",PT3M23S,2021-01-10 16:48:28+00:00,321,30,4,2024-08-24 07:52:14.788940+00:00
3 Festive Side Dishes | Easy Vegan Recipes,PT10M9S,2020-12-21 13:00:11+00:00,278,21,3,2024-08-24 07:52:15.190585+00:00
Mulled Wine Recipe with Hibiscus and Ginger! | Delicious Christmas Drink,PT4M45S,2020-12-19 15:34:20+00:00,315,17,0,2024-08-24 07:52:15.588147+00:00
Traditional Nigerian Snacks (Vegan) | I Created A Course on Udemy!,PT2M2S,2020-11-28 10:00:18+00:00,476,38,4,2024-08-24 07:52:15.969323+00:00
Do You Know Your Risk for Type 2 Diabetes?,PT5M1S,2020-10-30 16:00:26+00:00,241,20,0,2024-08-24 07:52:16.445410+00:00
Spiced Apple Raspberry Crumble | Bake and Relax #withme,PT2M18S,2020-10-25 13:17:32+00:00,221,30,9,2024-08-24 07:52:16.872564+00:00
Vegan Nigerian Fish Stew | Obe Eja Recipe,PT3M8S,2020-10-17 13:57:47+00:00,736,53,21,2024-08-24 07:52:17.293647+00:00
Yam Porridge | Asaro Recipe | The Vegan Nigerian,PT2M50S,2020-10-04 18:00:44+00:00,951,65,7,2024-08-24 07:52:17.751273+00:00
Vegan Egg Fried Rice | Easy Vegan Recipe,PT2M3S,2020-09-11 13:54:31+00:00,905,51,18,2024-08-24 07:52:18.207447+00:00
