video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S,channel_name
Simple Ngerian Buns Recipe,2022-09-24 16:10:15+00:00,57,15.0,14,2024-08-21 23:42:55.115895+00:00,0,1,46,ookwithFunmi
SIMPLE AND DELICIOUS PASTA RECIPE,2022-08-23 18:15:48+00:00,35,8.0,12,2024-08-21 23:42:55.871033+00:00,0,1,30,ookwithFunmi
very easy RED VELVET CAKE recipe,2022-08-11 18:03:39+00:00,1211,17.0,11,2024-08-21 23:42:56.575480+00:00,0,1,44,ookwithFunmi
How to make COCONUT CHIPS at Home,2022-07-29 18:38:28+00:00,225,7.0,9,2024-08-21 23:42:57.258046+00:00,0,1,12,ookwithFunmi
Quick & Easy Vanilla Buttercream Frosting Recipe,2022-07-11 17:00:15+00:00,265,5.0,4,2024-08-21 23:42:57.974763+00:00,0,1,13,ookwithFunmi
MOIST and FLUFFY VANILLA CAKE recipe from scratch,2022-06-27 17:00:09+00:00,164,10.0,6,2024-08-21 23:42:58.681663+00:00,0,2,11,ookwithFunmi
"Delicious egg friedrice recipe// quick,simple and yummy",2022-06-18 16:00:00+00:00,22,4.0,6,2024-08-21 23:42:59.414462+00:00,0,1,5,ookwithFunmi
Quick and easy macaroni recipe,2022-05-11 17:01:00+00:00,50,7.0,8,2024-08-21 23:43:00.120002+00:00,0,1,16,ookwithFunmi
HOW TO MAKE NIGERIAN PEPPERSOUP,2022-04-26 18:05:03+00:00,43,9.0,10,2024-08-21 23:43:00.809214+00:00,0,1,1,ookwithFunmi
How to make simple MOI MOI at home,2022-04-10 18:00:09+00:00,30,5.0,9,2024-08-21 23:43:01.533030+00:00,0,1,45,ookwithFunmi
How to make simple banana pancakes,2022-04-02 08:55:47+00:00,247,14.0,8,2024-08-21 23:43:02.269239+00:00,0,1,57,ookwithFunmi
simple POPCORN CHICKEN recipe to make at home.,2022-03-17 13:58:51+00:00,103,13.0,15,2024-08-21 23:43:03.029510+00:00,0,2,18,ookwithFunmi
SIMPLE CHICKEN AND VEGETABLE SAUCE//you'll want to have this everyday😉,2022-03-06 18:00:09+00:00,28,13.0,12,2024-08-21 23:43:03.763083+00:00,0,2,30,ookwithFunmi
HOW TO MAKE A HEALTHY ZOBO DRINK// goodbye to soda,2021-12-27 18:00:13+00:00,49,9.0,12,2024-08-21 23:43:04.465786+00:00,0,1,31,ookwithFunmi
