video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
If you eat Quinoa then you need to try these 3 Nigerian Inspired Quinoa Recipes - Zeelicious Foods,2024-01-27 13:16:14+00:00,6871,274,18,2024-08-24 07:42:09.889437+00:00,0,7,8
3 Breakfast Recipes to Add to Your Breakfast List - Healthy & Delicious Recipes,2024-01-20 12:45:30+00:00,8648,389,30,2024-08-24 07:42:10.315622+00:00,0,7,33
A realistic What I eat in a day to maintain a healthy weight… #shorts #zeeliciousfoods,2024-01-19 15:29:14+00:00,6657,216,14,2024-08-24 07:42:10.729526+00:00,0,1,1
"A low-carb, high-protein, guilt-free PIZZA Recipe 🍕- Perfect for weightloss!✨ #pizza",2024-01-13 17:10:34+00:00,5765,238,10,2024-08-24 07:42:11.138354+00:00,0,1,20
I Did a Very Good Thing This Christmas  and It Put Smiles on Peoples Faces & Warmed Up My Heart!❤️,2023-12-30 13:07:01+00:00,5735,311,35,2024-08-24 07:42:11.551820+00:00,0,1,24
What a Nigerian Girl Eats in a Day to Maintain a Healthy Weight - Zeelicious Foods,2023-12-29 15:40:04+00:00,10720,330,14,2024-08-24 07:42:11.977161+00:00,0,1,15
You Need to Try These 4 Breakfast For Dinner Recipes -  Holiday Recipes - Zeelicious Foods,2023-12-27 12:30:22+00:00,7743,287,10,2024-08-24 07:42:12.404273+00:00,0,10,2
Everything I Ate on CHRISTMAS DAY!😁 #zeeliciousfoods,2023-12-26 09:38:12+00:00,10442,450,17,2024-08-24 07:42:12.850236+00:00,0,1,30
Paying a Special Tribute to DAD by Making His Favorite Meal - He was My BESTFRIEND!,2023-12-24 14:00:29+00:00,20642,855,108,2024-08-24 07:42:13.262774+00:00,0,20,18
"If you have ripe plantains, try this delicious recipe - #shorts #zeelicioudfoods",2023-12-18 15:25:25+00:00,28141,452,19,2024-08-24 07:42:13.735166+00:00,0,1,1
My Top 4 Simple but Delicious Healthy Recipes For the Festive Season - ZEELICIOUS FOODS,2023-12-16 13:23:31+00:00,7167,288,14,2024-08-24 07:42:14.411518+00:00,0,11,20
How I Make the Famous CHICKEN & CHIPS Recipe the Healthy Way! - ZEELICIOUS FOODS,2023-12-13 12:30:29+00:00,12214,445,29,2024-08-24 07:42:14.829419+00:00,0,5,26
What I Eat in a Day & Everything I did to Lose 4kg in 3 weeks - Zeelicious Foods,2023-12-09 12:30:26+00:00,9750,352,28,2024-08-24 07:42:15.240644+00:00,0,11,1
A Realistic ‘What I Eat in a Day’ to Maintain a Healthy Weight - Zeelicious Foods #whatieatinaday,2023-12-08 15:56:49+00:00,4356,161,6,2024-08-24 07:42:15.646474+00:00,0,1,30
"My Latest Breakfast Obsession- Crispy Potatoes with Soft, Fluffy Scrambled Eggs - Zeelicious Foods",2023-12-06 12:00:59+00:00,12830,478,31,2024-08-24 07:42:16.038659+00:00,0,4,20
Two Brand New OAT RECIPES for my Oat Lovers!😉 - Zeelicious Foods,2023-11-25 12:30:31+00:00,11035,392,17,2024-08-24 07:42:16.454874+00:00,0,5,31
Meal Prep With Me - 4 Budget Friendly Healthy Recipes - Zeelicious Foods,2023-11-11 15:16:26+00:00,15284,808,44,2024-08-24 07:42:16.846952+00:00,0,12,3
3 of My Go-To Healthy Recipes For Weight-Loss - Zeelicious Foods,2023-11-04 12:00:42+00:00,5862,533,15,2024-08-24 07:42:17.239799+00:00,0,7,36
Coconut Fried Rice - The Healthy Way,2023-10-31 15:21:34+00:00,13042,779,17,2024-08-24 07:42:17.634215+00:00,0,1,21
One Week of Healthy Lunch Recipes Meal Prep (With Rice as the Main Dish) - Zeelicious Foods,2023-10-21 12:00:14+00:00,19840,855,50,2024-08-24 07:42:18.054435+00:00,0,11,24
Fried Meat Pies - Zeelicious Foods,2023-10-18 16:20:08+00:00,10316,537,17,2024-08-24 07:42:18.484385+00:00,0,1,22
