video_title,date_released_utc,view_count,like_count,comment_count,date_collected_utc,video_duration_H,video_duration_M,video_duration_S
BUILD MY DREAM AMERICAN HOME KITCHEN IN NIGERIA WITH ME | FROM SCRATCH TO FINISH. | NEW KITCHEN,2024-08-24 03:53:20+00:00,1827,277,52,2024-08-24 07:46:07.151008+00:00,0,23,28
WE ARE MOVING | END OF AN ERA | DIARYOFAKITCHENLOVER,2024-08-23 22:12:53+00:00,836,103,15,2024-08-24 07:46:07.642315+00:00,0,4,9
EWEDU SOUP! ALFA OLORUNGBEBE STYLE | MARKET SERIES WITH CHEF T | DIRYOFAKITCHENLOVER,2024-08-13 14:23:33+00:00,18180,555,46,2024-08-24 07:46:08.074466+00:00,0,15,37
ESA SOUP | BENISEED SOUP | DIARYOFAKITCHENLOVER | SOUP RECIPES,2024-08-06 10:41:04+00:00,2025,77,6,2024-08-24 07:46:08.508272+00:00,0,1,31
CHEF T AND MAMA DEOLA FOLLOWERS PARTY FILLED WITH SO MUCH FOOD AND LAUGHTER,2024-08-05 13:32:28+00:00,3986,173,21,2024-08-24 07:46:08.954193+00:00,0,44,22
SISTER MARY AND FRIENDS SHARED THEIR OHA SOUP RECIPE | MARKET SERIES WITH CHEF T | OHA SOUP,2024-07-25 14:37:46+00:00,5035,327,71,2024-08-24 07:46:09.347157+00:00,0,21,17
LOCAL NIGERIAN SPICES | DIARYOFAKITCHENLOVER,2024-07-23 13:46:04+00:00,1940,102,6,2024-08-24 07:46:09.738681+00:00,0,1,30
AFANG SOUP! THE MAMA COMFORT STYLE | AFANG SOUP RECIPE,2024-07-20 07:54:49+00:00,6950,352,60,2024-08-24 07:46:10.196998+00:00,0,16,36
VERY TASTY BAKED SAUSAGE ROLLS | DIARYOFAKITCHENLOVER | #RECIPES,2024-07-15 08:55:58+00:00,4321,247,35,2024-08-24 07:46:10.652367+00:00,0,8,49
EATING COMPETITION. WHO WON?!,2024-07-12 13:28:51+00:00,2553,130,8,2024-08-24 07:46:11.060836+00:00,0,2,27
